------------ PCB NO.: 07212-2M
------------ ITEM   : 55.4W101.M06G
------------ Model  : DH3 MB 07212-2M DISC (S) #2
 
64.27R45.6DL     CHIP RES 27.4 F 1/16W 0402            3 R311
64.30025.6DL     CHIP RES 30K F 1/16W 0402             3 R476
64.30025.6DL     CHIP RES 30K F 1/16W 0402             3 R250
64.30025.6DL     CHIP RES 30K F 1/16W 0402             3 R138
64.30115.6DL     CHIP RES 3.01K F 1/16W 0402           1 R330
64.30925.6DL     CHIP RES 30.9K F 1/16W 0402           1 R473
64.32415.6DL     CHIP RES 3.24K F 1/16W 0402           1 R455
64.33035.6DL     CHIP RES 330K F 1/16W 0402            3 R415
64.33035.6DL     CHIP RES 330K F 1/16W 0402            3 R414
64.33035.6DL     CHIP RES 330K F 1/16W 0402            3 R412
64.36515.55L     CHIP RES 3.65K F 1/10W 0603           2 R34
64.36515.55L     CHIP RES 3.65K F 1/10W 0603           2 R31
64.36515.6DL     CHIP RES 3.65K F 1/16W 0402           1 R8
64.36535.55L     CHIP RES 365K F 1/10W 0603            1 R17
64.39205.6DL     CHIP RES 392 F 1/16W 0402 (LF)        1 R365
64.39225.6DL     CHIP RES 39.2K F 1/16W 0402           2 R510
64.39225.6DL     CHIP RES 39.2K F 1/16W 0402           2 R487
64.39R25.6DL     CHIP RES 39.2 F 1/16W 0402            1 R37
64.40215.55L     CHIP RES 4.02K F 1/10W 0603           1 R285
64.40225.6DL     CHIP RES 40.2K F 1/16W 0402           1 R121
64.40R25.6DL     CHIP RES 40.2 F 1/16W 0402            1 R105
64.42225.6DL     CHIP RES 42.2K F 1/16W 0402           1 R249
64.45305.6DL     CHIP RES 453 F 1/16W 0402             1 R454
64.45R35.6DL     CHIP RES 45.3 F 1/16W 0402            1 R106
64.47015.6DL     CHIP RES 4.7K F 1/16W 0402            1 R237
64.49905.6DL     CHIP RES 499 F 1/16W 0402             1 R9
64.49925.6DL     CHIP RES 49.9K F 1/16W 0402           2 R278
64.49925.6DL     CHIP RES 49.9K F 1/16W 0402           2 R15
64.51015.6DL     CHIP RES 5.1K F 1/16W 0402            3 R523
64.51015.6DL     CHIP RES 5.1K F 1/16W 0402            3 R486
64.51015.6DL     CHIP RES 5.1K F 1/16W 0402            3 R497
64.54R95.6DL     CHIP RES 54.9 F 1/16W 0402            5 R555
64.54R95.6DL     CHIP RES 54.9 F 1/16W 0402            5 R41
64.54R95.6DL     CHIP RES 54.9 F 1/16W 0402            5 R313
64.54R95.6DL     CHIP RES 54.9 F 1/16W 0402            5 R312
